revision,process,case,mode,warmup,sample,seconds,logical_bytes
before,3,wide_reads,RetryReader,true,1,0.305303283,1073741824
before,3,wide_reads,File,false,2,0.227937099,1073741824
before,3,wide_reads,RetryReader,false,3,0.317389696,1073741824
before,3,wide_reads,RetryReader,false,4,0.332974092,1073741824
before,3,wide_reads,File,false,5,0.182142158,1073741824
before,3,wide_reads,File,false,6,0.195411787,1073741824
before,3,wide_reads,RetryReader,false,7,0.318773961,1073741824
before,3,wide_reads,RetryReader,false,8,0.330325555,1073741824
before,3,wide_reads,File,false,9,0.222314353,1073741824
before,3,wide_reads,File,false,10,0.182967559,1073741824
before,3,wide_reads,RetryReader,false,11,0.323314430,1073741824
before,3,wide_reads,RetryReader,false,12,0.346800717,1073741824
before,3,wide_reads,File,false,13,0.250466792,1073741824
